"id_1";"maximum(att_1)_activityId";"maximum(att_1)_activityName";"maximum(att_1)_activityType";"maximum(att_1)_assignee";"maximum(att_1)_canceled";"maximum(att_1)_completeScope";"maximum(att_1)_durationInMillis";"maximum(att_1)_endTime";"maximum(att_1)_executionId";"maximum(att_1)_id";"maximum(att_1)_parentActivityInstanceId";"maximum(att_1)_processDefinitionId";"maximum(att_1)_processDefinitionKey";"maximum(att_1)_processInstanceId";"maximum(att_1)_rootProcessInstanceId";"maximum(att_1)_startTime";"maximum(att_1)_taskId"
"0";"StartEventInventoryCheckAvailabilityProcessStarted";;"messageStartEvent";;"false";"false";"1.0";"2021-05-20T08:47:38.104+0000";"07965ae9-b948-11eb-a4b5-aef981eb09af";"0796a912-b948-11eb-a4b5-aef981eb09af";"07965ae9-b948-11eb-a4b5-aef981eb09af";"a3be8d25-b092-11eb-815c-5afe1358295f";"InventoryCheckAvialabilityProcess";"07965ae9-b948-11eb-a4b5-aef981eb09af";"07965ae9-b948-11eb-a4b5-aef981eb09af";"2021-05-20T08:47:38.103+0000";
"1000";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"1531.0";"2021-05-15T10:27:41.695+0000";"247a1998-b568-11eb-b311-72e642d23b9b";"Activity_1y2sq1j:2d07bcb7-b568-11eb-b311-72e642d23b9b";"247a1998-b568-11eb-b311-72e642d23b9b";"SalesProcess:20:417c0182-b09a-11eb-815c-5afe1358295f";"SalesProcess";"247a1998-b568-11eb-b311-72e642d23b9b";"247a1998-b568-11eb-b311-72e642d23b9b";"2021-05-15T10:27:40.164+0000";
"1001";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"1717.0";"2021-05-09T06:53:00.863+0000";"2b0dd5c8-b093-11eb-815c-5afe1358295f";"Activity_1y2sq1j:30dddf6f-b093-11eb-815c-5afe1358295f";"2b0dd5c8-b093-11eb-815c-5afe1358295f";"SalesProcess:5:87fdc0d0-b092-11eb-815c-5afe1358295f";"SalesProcess";"2b0dd5c8-b093-11eb-815c-5afe1358295f";"2b0dd5c8-b093-11eb-815c-5afe1358295f";"2021-05-09T06:52:59.146+0000";
"1002";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"3148.0";"2021-05-23T06:58:08.445+0000";"357cb0e6-bb94-11eb-8a9f-86b0ac3ad822";"Activity_1y2sq1j:39214f0e-bb94-11eb-8a9f-86b0ac3ad822";"357cb0e6-bb94-11eb-8a9f-86b0ac3ad822";"SalesProcess:32:d782449f-bb92-11eb-8a9f-86b0ac3ad822";"SalesProcess";"357cb0e6-bb94-11eb-8a9f-86b0ac3ad822";"357cb0e6-bb94-11eb-8a9f-86b0ac3ad822";"2021-05-23T06:58:05.297+0000";
"1003";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"1720.0";"2021-05-09T07:07:48.289+0000";"3e879306-b095-11eb-815c-5afe1358295f";"Activity_1y2sq1j:41cfe05d-b095-11eb-815c-5afe1358295f";"3e879306-b095-11eb-815c-5afe1358295f";"SalesProcess:10:37e5e1a2-b095-11eb-815c-5afe1358295f";"SalesProcess";"3e879306-b095-11eb-815c-5afe1358295f";"3e879306-b095-11eb-815c-5afe1358295f";"2021-05-09T07:07:46.569+0000";
"1004";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"2084.0";"2021-05-23T11:08:59.183+0000";"37365947-bbb7-11eb-bf31-3aea0f2551aa";"Activity_1y2sq1j:44b4062b-bbb7-11eb-bf31-3aea0f2551aa";"37365947-bbb7-11eb-bf31-3aea0f2551aa";"SalesProcess:32:d782449f-bb92-11eb-8a9f-86b0ac3ad822";"SalesProcess";"37365947-bbb7-11eb-bf31-3aea0f2551aa";"37365947-bbb7-11eb-bf31-3aea0f2551aa";"2021-05-23T11:08:57.099+0000";
"1005";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"1850.0";"2021-05-09T07:36:32.640+0000";"4210e3c4-b099-11eb-815c-5afe1358295f";"Activity_1y2sq1j:45871eeb-b099-11eb-815c-5afe1358295f";"4210e3c4-b099-11eb-815c-5afe1358295f";"SalesProcess:17:3a2c7930-b099-11eb-815c-5afe1358295f";"SalesProcess";"4210e3c4-b099-11eb-815c-5afe1358295f";"4210e3c4-b099-11eb-815c-5afe1358295f";"2021-05-09T07:36:30.790+0000";
"1006";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"2665.0";"2021-05-20T09:03:45.234+0000";"40f37ec2-b94a-11eb-a4b5-aef981eb09af";"Activity_1y2sq1j:46747e0a-b94a-11eb-a4b5-aef981eb09af";"40f37ec2-b94a-11eb-a4b5-aef981eb09af";"SalesProcess:27:dade1280-b949-11eb-a4b5-aef981eb09af";"SalesProcess";"40f37ec2-b94a-11eb-a4b5-aef981eb09af";"40f37ec2-b94a-11eb-a4b5-aef981eb09af";"2021-05-20T09:03:42.569+0000";
"1007";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"2766.0";"2021-05-27T12:44:36.051+0000";"4119332a-bee9-11eb-81f7-322213044446";"Activity_1y2sq1j:49638ba3-bee9-11eb-81f7-322213044446";"4119332a-bee9-11eb-81f7-322213044446";"SalesProcess:34:91882f6d-bec8-11eb-8d08-a247f19c548a";"SalesProcess";"4119332a-bee9-11eb-81f7-322213044446";"4119332a-bee9-11eb-81f7-322213044446";"2021-05-27T12:44:33.285+0000";
"1008";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"1987.0";"2021-05-09T07:43:49.413+0000";"47151c90-b09a-11eb-815c-5afe1358295f";"Activity_1y2sq1j:49c87ce7-b09a-11eb-815c-5afe1358295f";"47151c90-b09a-11eb-815c-5afe1358295f";"SalesProcess:20:417c0182-b09a-11eb-815c-5afe1358295f";"SalesProcess";"47151c90-b09a-11eb-815c-5afe1358295f";"47151c90-b09a-11eb-815c-5afe1358295f";"2021-05-09T07:43:47.426+0000";
"1009";"Activity_1y2sq1j";"search for 'Others buy too' products";"serviceTask";;"false";"false";"2417.0";"2021-05-09T07:15:19.667+0000";"4b2a2cb1-b096-11eb-815c-5afe1358295f";"Activity_1y2sq1j:4e705628-b096-11eb-815c-5afe1358295f";"4b2a2cb1-b096-11eb-815c-5afe1358295f";"SalesProcess:13:4374e86d-b096-11eb-815c-5afe1358295f";"SalesProcess";"4b2a2cb1-b096-11eb-815c-5afe1358295f";"4b2a2cb1-b096-11eb-815c-5afe1358295f";"2021-05-09T07:15:17.250+0000";
